"I-words (I, me, my)",Positive Tone,Negative Tone,Social Words,Cognitive Processes,Allure,Moralization,Analytic,Authentic
7.49,3.8800000000000003,1.15,9.975999999999999,9.716,12.258,0.0,50.042,86.912
8.275,3.8425,1.2875,11.3275,11.635000000000002,10.35,0.145,33.665,98.0325
11.942,3.378,1.0699999999999998,7.9239999999999995,6.626,11.306000000000001,0.0,31.184000000000005,92.02400000000002
9.379999999999999,3.4259999999999997,2.54,9.296000000000001,8.476,9.77,0.41600000000000004,33.134,71.908
5.016666666666667,2.686666666666667,2.92,12.683333333333335,9.423333333333334,13.159999999999998,0.6466666666666666,34.13666666666666,94.73666666666668
6.875000000000001,4.880000000000001,4.345000000000001,14.5325,9.915000000000001,9.565000000000001,0.62,11.18,65.65249999999999
7.69,1.78,2.37,11.69,8.14,13.46,1.33,27.22,89.41
10.814,4.148000000000001,0.76,7.720000000000001,13.924000000000001,10.916,0.13999999999999999,23.896,80.952
10.408000000000001,3.7260000000000004,2.366,10.354000000000003,10.148,9.752,0.11000000000000001,20.094,78.386
9.214,6.45,1.952,7.848000000000001,10.440000000000001,11.163999999999998,0.248,40.914,69.174
14.645,3.075,0.855,7.630000000000001,11.82,10.719999999999999,0.0,5.685,96.41
10.501999999999999,3.0380000000000003,2.278,11.677999999999999,9.048,11.698000000000002,0.0,23.292,80.562
6.364,1.67,2.9099999999999997,9.702,12.472,7.984,1.278,30.46,84.69800000000001
8.760000000000002,2.604,3.646,7.343999999999999,6.564,9.426,0.504,37.714000000000006,79.90599999999999
7.618,3.682000000000001,1.97,11.522,11.916,10.703999999999999,0.078,19.314,62.093999999999994
6.57,4.14,4.6033333333333335,12.546666666666667,12.226666666666667,14.293333333333331,0.18666666666666668,16.44333333333333,63.56
10.145,1.645,2.63,10.82,6.99,10.8,0.0,20.17,92.89500000000001
8.184000000000001,2.8120000000000003,2.418,5.258,10.605999999999998,11.494,0.49000000000000005,22.22,93.992
12.280000000000001,1.394,3.556,12.963999999999999,12.922,9.267999999999999,0.22799999999999998,9.446,89.464
12.89,3.4840000000000004,3.228,8.7,16.416000000000004,10.806000000000001,0.758,7.465999999999999,84.244
3.56,2.43,2.4966666666666666,9.700000000000001,10.590000000000002,13.336666666666666,0.12333333333333334,25.723333333333333,93.94333333333334
12.192499999999999,3.6975000000000002,1.9849999999999999,10.4925,9.045,13.675,0.0,27.1175,98.715
9.398000000000001,1.9739999999999998,1.4979999999999998,7.462000000000001,13.126,14.772,0.038,28.516,95.424
9.052000000000001,2.44,1.8379999999999999,10.494,10.6,11.562,0.22599999999999998,26.216,88.026
10.47,3.19,1.6960000000000002,10.758,9.623999999999999,10.522,0.284,20.192,91.284
12.2225,3.34,2.56,9.8275,12.515,9.44,0.8775,8.72,86.16750000000002
12.443999999999999,3.0840000000000005,0.782,12.108,14.144,13.366,0.22400000000000003,17.028,89.83200000000001
10.528,4.974,1.7939999999999998,5.656000000000001,9.581999999999999,8.498,0.05,21.631999999999998,99.02000000000001
10.154000000000002,1.668,3.196,9.454,8.97,10.876,0.262,22.038,79.148
4.682,2.2359999999999998,2.348,11.219999999999999,9.632,13.65,0.30600000000000005,37.378,64.19800000000001
